항목명,코드,코드의미 및 단위
현재자녀동거사유_2순위코드,,현재 자녀와 동거 이유[1순위] 코드 참조
현재자녀동거사유_3순위코드,,현재 자녀와 동거 이유[1순위] 코드 참조
현재자녀비동거사유_1순위코드,1,"독립생활(수입, 건강 등)이 가능하므로"
현재자녀비동거사유_1순위코드,2,자녀에게 부담이 될까 봐
현재자녀비동거사유_1순위코드,3,따로 사는 것이 편해서
현재자녀비동거사유_1순위코드,4,"자녀의 직장, 학업 때문에"
현재자녀비동거사유_1순위코드,5,"자녀(며느리, 사위포함)와의 관계가 불편하여"
현재자녀비동거사유_1순위코드,6,기타(    )
현재자녀비동거사유_2순위코드,,현재 자녀와 동거하지 않는 이유[1순위] 코드 참조
현재자녀비동거사유_3순위코드,,현재 자녀와 동거하지 않는 이유[1순위] 코드 참조
향후자녀동거의향여부,1,같이 살고 싶다
향후자녀동거의향여부,2,같이 살고 싶지 않다
향후희망거처코드,1,자기집
향후희망거처코드,2,양로·요양 시설
향후희망거처코드,3,기타(    )
개인적인간관계만족도코드,1,매우만족
개인적인간관계만족도코드,2,약간만족
개인적인간관계만족도코드,3,보통
개인적인간관계만족도코드,4,약간불만족
개인적인간관계만족도코드,5,매우불만족
사회적관계망_가사도움요청대상유무,1,있다
사회적관계망_가사도움요청대상유무,2,없다
사회적관계망_가사도움요청대상인원수,,
사회적관계망_자금차입도움요청대상유무,,[몸이 아파 집안일을 부탁해야 할 경우] 코드 참조
사회적관계망_자금차입도움요청대상인원수,,
사회적관계망_대화상대도움요청대상유무,,[몸이 아파 집안일을 부탁해야 할 경우] 코드 참조
사회적관계망_대화상대도움요청대상인원수,,
단체참여여부,1,있다
단체참여여부,2,없다
참여단체_1순위코드,1,"친목 및 사교 단체(계, 동창회 등)"
참여단체_1순위코드,2,"종교 단체(자비원, 선교회, 교리 연구회 등)"
참여단체_1순위코드,3,"취미, 스포츠 및 레저 단체"
참여단체_1순위코드,4,"시민 사회단체(환경 단체, 봉사 단체 등)"
참여단체_1순위코드,5,학술 단체
참여단체_1순위코드,6,"이익 단체(노조, 의사회, 약사회 등)"
참여단체_1순위코드,7,정치 단체
참여단체_1순위코드,8,"지역사회 모임(반상회, 입주자 대표회 등)"
참여단체_1순위코드,9,기타(      )
참여단체_2순위코드,,참여한 단체[1순위] 코드 참조
참여단체_3순위코드,,참여한 단체[1순위] 코드 참조
기부여부,1,기부한적 있음
기부여부,2,기부한적 없음
기부종류코드,1,현금만 기부
기부종류코드,2,물품만 기부
기부종류코드,3,현금과 물품 모두 기부
미기부사유코드,1,경제적 여유가 없어서
미기부사유코드,2,기부에 대한 관심이 없어서
미기부사유코드,3,기부 방법을 몰라서
미기부사유코드,4,기부 단체 등을 신뢰할 수 없어서
미기부사유코드,5,직접적인 요청을 받은 적이 없어서
미기부사유코드,6,기타(     )
현금기부_주기성여부,1,있다
현금기부_주기성여부,2,없다
정기기부_현금기부여부,1,월단위
정기기부_현금기부여부,2,분기(3개월)단위
정기기부_현금기부여부,3,반기(6개월)단위
정기기부_현금기부여부,4,기타(    )
정기기부_물품기부여부,,기부의 주기성[현금기부] 코드참조
정기기부_물품기부_주기코드,,기부의 주기성[현금기부] 코드참조
기부내용_대상자직접후원_현금횟수,,
기부내용_대상자직접후원_현금금액,,
기부내용_언론기관후원_현금횟수,,
기부내용_언론기관후원_현금금액,,
기부내용_모금단체후원_현금횟수,,
기부내용_모금단체후원_현금금액,,
기부내용_종교단체후원_현금횟수,,
기부내용_종교단체후원_현금금액,,
기부내용_직장기업후원_현금횟수,,
기부내용_직장기업후원_현금금액,,
기부내용_기타_현금횟수,,
기부내용_기타_현금금액,,
기부내용_물품횟수,,
기부희망분야_1순위코드,1,사회복지 분야
기부희망분야_1순위코드,2,의료 분야
기부희망분야_1순위코드,3,해외 구호 활동 분야
기부희망분야_1순위코드,4,지역사회 발전 분야(지역도서관 건립 등)
기부희망분야_1순위코드,5,공익 활동 분야(환경운동연합 등)
기부희망분야_1순위코드,6,교육 및 연구 활동 분야(학교 등)
기부희망분야_1순위코드,7,문화 및 예술 분야
기부희망분야_1순위코드,8,기타(    )
기부희망분야_2순위코드,,기부 희망 분야[1순위] 코드 참조
기부희망분야_3순위코드,,기부 희망 분야[1순위] 코드 참조
기부문화확산_1순위코드,1,사회 지도층과 부유층의 모범적 기부 확대
기부문화확산_1순위코드,2,"나눔 교육, 대중 캠페인 등을 통한 나눔에 대한 인식 개선"
기부문화확산_1순위코드,3,기부 단체의 자금 운영 투명성 강화
기부문화확산_1순위코드,4,소득공제 확대 등 정부 지원 강화
기부문화확산_1순위코드,5,기부 방법의 편리성 증대
기부문화확산_1순위코드,6,"경조금 기부, 유산 기부 등 다양한 기부 방법 홍보"
기부문화확산_1순위코드,7,기타(    )
기부문화확산_2순위코드,,기부 문화 확산[1순위] 코드 참조
기부문화확산_3순위코드,,기부 문화 확산[1순위] 코드 참조
향후기부의사여부,1,있다
향후기부의사여부,2,없다
자원봉사활동여부,1,있다
자원봉사활동여부,2,없다
자원봉사_아동청소년노인장애인재소자관련횟수,,
자원봉사_아동청소년노인장애인재소자관련시간수,,
자원봉사활동_환경보전범죄예방관련횟수,,
자원봉사활동_환경보전범죄예방관련시간수,,
자원봉사활동_자녀교육관련횟수,,
자원봉사활동_자녀교육관련시간수,,
자원봉사활동_국가지역행사관련횟수,,
자원봉사활동_국가지역행사관련시간수,,
자원봉사활동_재해지역주민돕기시설복구관련횟수,,
자원봉사활동_재해지역주민돕기시설복구관련시간수,,
자원봉사활동_기타일반봉사관련횟수,,
자원봉사활동_기타일반봉사관련시간수,,
자원봉사활동주기성여부,1,있다
자원봉사활동주기성여부,2,없다
자원봉사활동주기성코드,1,주 단위
자원봉사활동주기성코드,2,월 단위
자원봉사활동주기성코드,3,분기 단위
자원봉사활동주기성코드,4,반기 단위
자원봉사활동주기성코드,5,기타(     )
향후자원봉사활동의사여부,1,있다
향후자원봉사활동의사여부,2,없다
계층의식코드,11,상상
계층의식코드,12,상하
계층의식코드,21,중상
계층의식코드,22,중하
계층의식코드,31,하상
계층의식코드,32,하하
본인세대계층이동코드,1,매우 높다
본인세대계층이동코드,2,비교적 높다
본인세대계층이동코드,3,비교적 낮다
