원본컬럼(df1),매칭컬럼(df2),유사도,,,,,
문화예술스포츠관람_스포츠횟수,관람횟수_스포츠,100,,,,,분류코드_임금근로자구분
문화예술스포츠관람_연극마당극뮤지컬횟수,관람횟수_연극마당극뮤지컬,100,,,,,분류코드_자원봉사여부
문화예술스포츠관람_영화횟수,관람횟수_영화,100,,,,,분류코드_자원봉사정기성여부
문화예술스포츠관람_음악연주회횟수,관람횟수_음악연주회콘서트,100,,,,,분류코드_장애인복지카드_소유여부
문화예술스포츠관람여부,문화예술스포츠관람여부,100,,,,,분류코드_장애인복지카드소유여부
미기부사유코드,미기부사유,83.3333,,,,,분류코드_점유형태
배우자의 지난 1주간 경제활동상태,배우자지난1주간경제활동여부,90.9091,,,,,분류코드_점유형태1
배우자지난1주간경제활동여부,배우자지난1주간경제활동여부,100,,,,,분류코드_점유형태2
본인세대_계층이동코드,본인세대_계층이동,90,,,,,분류코드_종사자지위
본인세대계층이동코드,본인세대_계층이동,88.8889,,,,,분류코드_주관적만족감
본인의 계층이동,본인세대_계층이동,93.3333,,,,,분류코드_주관적소득수준
본인의 노후 준비방법[준비여부],본인의노후준비방법준비여부,86.6667,,,,,분류코드_주택형태
부채변화코드,부채의변화,80,,,,,분류코드_주택형태1
부채의 변화,부채의변화,90.9091,,,,,분류코드_주택형태2
부채의 변화_코로나,부채의변화_코로나,94.7368,,,,,분류코드_직업대분류
분류코드-가구소득,분류코드_가구소득1,94.1176,,,,,분류코드_직업별
분류코드-가구소득2,분류코드_가구소득2,94.7368,,,,,분류코드_직장산업대분류
분류코드-가구소득3,분류코드_가구소득3,94.7368,,,,,분류코드_청소년교육정도코드1
분류코드-경제활동여부,분류코드경제활동여부,95.2381,,,,,분류코드_청소년교육정도코드2
분류코드-경제활동여부2,분류코드경제활동여부2,95.6522,,,,,분류코드_혼인상태
분류코드-계층의식,분류코드계층의식,94.1176,,,,,분류코드_혼인상태2
분류코드-고용 안정성,분류코드고용안정성,90,,,,,사회보험료부담인식_건강보험납부여부
분류코드-기부여부,분류코드기부여부,94.1176,,,,,사회보험료부담인식_건강보험부담정도
분류코드-맞벌이여부,분류코드맞벌이여부,94.7368,,,,,사회보험료부담인식_고용보험납부여부
분류코드-맞벌이여부2,분류코드맞벌이여부2,95.2381,,,,,사회보험료부담인식_고용보험부담정도
분류코드-물품기부_정기성,분류코드물품기부_정기성,96,,,,,사회보험료부담인식_국민연금납부여부
분류코드-물품기부여부,분류코드물품기부여부,95.2381,,,,,사회보험료부담인식_국민연금부담정도
분류코드-산업별,분류코드산업별,93.3333,,,,,사회장애인차별정도
