항목명,코드,코드의미 및 단위
향후 늘려야 할 복지서비스[3순위],2,소득 지원 서비스
향후 늘려야 할 복지서비스[3순위],3,주거 관련 서비스
향후 늘려야 할 복지서비스[3순위],4,안전 관련 서비스
향후 늘려야 할 복지서비스[3순위],5,보건의료·건강관리 서비스
향후 늘려야 할 복지서비스[3순위],6,보육 관련 서비스
향후 늘려야 할 복지서비스[3순위],7,교육 관련 서비스
향후 늘려야 할 복지서비스[3순위],8,노인 돌봄 서비스
향후 늘려야 할 복지서비스[3순위],9,문화·여가 생활 지원 서비스
향후 늘려야 할 복지서비스[3순위],10,기타 (   )
선호 장례 방법,1,매장(묘지)
선호 장례 방법,2,"화장 후 봉안(납골당, 납골묘 등) 시설에 안치"
선호 장례 방법,3,"화장 후 자연장(수목형, 화초형, 잔디형, 수목장림 등)"
선호 장례 방법,4,"화장 후 산, 강, 바다에 뿌림"
선호 장례 방법,5,기타(  )
장애인과의 유대관계 여부 및 대상,1,있다
장애인과의 유대관계 여부 및 대상,2,없다
장애인과의 유대관계 여부 및 대상[대상[1순위]],1,가족
장애인과의 유대관계 여부 및 대상[대상[1순위]],2,친척
장애인과의 유대관계 여부 및 대상[대상[1순위]],3,직장 관련인(단순 업무상 관계는 제외)
장애인과의 유대관계 여부 및 대상[대상[1순위]],4,"친구, 이웃"
장애인과의 유대관계 여부 및 대상[대상[1순위]],5,"동호회(동아리, 모임 등) 회원"
장애인과의 유대관계 여부 및 대상[대상[1순위]],6,기타
장애인과의 유대관계 여부 및 대상[대상[2순위]],1,가족
장애인과의 유대관계 여부 및 대상[대상[2순위]],2,친척
장애인과의 유대관계 여부 및 대상[대상[2순위]],3,직장 관련인(단순 업무상 관계는 제외)
장애인과의 유대관계 여부 및 대상[대상[2순위]],4,"친구, 이웃"
장애인과의 유대관계 여부 및 대상[대상[2순위]],5,"동호회(동아리, 모임 등) 회원"
장애인과의 유대관계 여부 및 대상[대상[2순위]],6,기타
장애인과의 유대관계 여부 및 대상[대상[3순위]],1,가족
장애인과의 유대관계 여부 및 대상[대상[3순위]],2,친척
장애인과의 유대관계 여부 및 대상[대상[3순위]],3,직장 관련인(단순 업무상 관계는 제외)
장애인과의 유대관계 여부 및 대상[대상[3순위]],4,"친구, 이웃"
장애인과의 유대관계 여부 및 대상[대상[3순위]],5,"동호회(동아리, 모임 등) 회원"
장애인과의 유대관계 여부 및 대상[대상[3순위]],6,기타
사회의 장애인 차별 정도,1,전혀 차별하지 않는다
사회의 장애인 차별 정도,2,별로 차별하지 않는다
사회의 장애인 차별 정도,3,조금 차별한다
사회의 장애인 차별 정도,4,많이 차별한다
장애인 관련 시설,1,전혀반대하지 않음
장애인 관련 시설,2,별로 반대하지 않음
장애인 관련 시설,3,약간 반대
장애인 관련 시설,4,매우 반대
장애인 복지사업,1,계속확대하여야 한다
장애인 복지사업,2,재원이 허락한다면 확대하여야 한다
장애인 복지사업,3,충분하다
장애인 복지사업,4,잘 모르겠다
우선적으로 실시해야 할 장애인 복지사업[1순위],1,연금·수당 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],2,돌봄 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],3,교육 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],4,의료·재활 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],5,주거 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],6,이동·교통 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],7,일자리·자립자금 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],8,각종 요금의 할인·감면과 세제 혜택 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],9,문화·예술 행사 참여 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],10,장애인을 이해하고 포용하는 사회 분위기 조성
우선적으로 실시해야 할 장애인 복지사업[1순위],11,기타(    )
우선적으로 실시해야 할 장애인 복지사업[2순위],1,연금·수당 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[2순위],2,돌봄 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[2순위],3,교육 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[2순위],4,의료·재활 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[2순위],5,주거 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[2순위],6,이동·교통 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[2순위],7,일자리·자립자금 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[2순위],8,각종 요금의 할인·감면과 세제 혜택 서비스
우선적으로 실시해야 할 장애인 복지사업[2순위],9,문화·예술 행사 참여 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[2순위],10,장애인을 이해하고 포용하는 사회 분위기 조성
우선적으로 실시해야 할 장애인 복지사업[2순위],11,기타(    )
우선적으로 실시해야 할 장애인 복지사업[3순위],1,연금·수당 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[3순위],2,돌봄 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[3순위],3,교육 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[3순위],4,의료·재활 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[3순위],5,주거 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[3순위],6,이동·교통 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[3순위],7,일자리·자립자금 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[3순위],8,각종 요금의 할인·감면과 세제 혜택 서비스
우선적으로 실시해야 할 장애인 복지사업[3순위],9,문화·예술 행사 참여 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[3순위],10,장애인을 이해하고 포용하는 사회 분위기 조성
우선적으로 실시해야 할 장애인 복지사업[3순위],11,기타(    )
본인의 노후 준비방법[준비여부],1,준비하고(되어) 있다
본인의 노후 준비방법[준비여부],2,준비하고(되어) 있지 않다
노후 준비방법_주된 것,1,국민연금
노후 준비방법_주된 것,2,"직역연금(공무원, 사립학교 교직원, 군인, 별정 우체국 직원 연금)"
노후 준비방법_주된 것,3,"사적 연금(은행, 보험회사 등을 통한 개인연금)"
노후 준비방법_주된 것,4,주택 연금
노후 준비방법_주된 것,5,"퇴직급여(퇴직금, 퇴직연금)"
노후 준비방법_주된 것,6,"예금, 적금, 저축성 보험"
노후 준비방법_주된 것,7,부동산 운용
노후 준비방법_주된 것,8,"주식, 채권 등"
노후 준비방법_주된 것,9,기타(    )
노후 준비방법_부수적인 것,1,국민연금
노후 준비방법_부수적인 것,2,"직역연금(공무원, 사립학교 교직원, 군인, 별정 우체국 직원 연금)"
노후 준비방법_부수적인 것,3,"사적 연금(은행, 보험회사 등을 통한 개인연금)"
노후 준비방법_부수적인 것,4,주택 연금
노후 준비방법_부수적인 것,5,"퇴직급여(퇴직금, 퇴직연금)"
노후 준비방법_부수적인 것,6,"예금, 적금, 저축성 보험"
노후 준비방법_부수적인 것,7,부동산 운용
노후 준비방법_부수적인 것,8,"주식, 채권 등"
노후 준비방법_부수적인 것,9,기타(    )
노후 준비방법_노후준비하고 있지 않은 이유,1,아직 생각하고 있지 않다
노후 준비방법_노후준비하고 있지 않은 이유,2,앞으로 준비할 계획이다
노후 준비방법_노후준비하고 있지 않은 이유,3,준비할 능력이 없다
노후 준비방법_노후준비하고 있지 않은 이유,4,자녀에게 의탁한다
노후 준비방법_노후준비하고 있지 않은 이유,5,기타( )
노후를 위한 사회적 역할,1,노후 소득 지원
노후를 위한 사회적 역할,2,노후 취업 지원
노후를 위한 사회적 역할,3,요양 보호 서비스
노후를 위한 사회적 역할,4,문화·여가 복지 서비스
노후를 위한 사회적 역할,5,세대 간 이해 증진을 위한 교육 및 홍보
노후를 위한 사회적 역할,6,교통 및 주거 환경 조성
노후를 위한 사회적 역할,7,기타(   )
노후를 보내고 싶은 방법,1,취미 활동
노후를 보내고 싶은 방법,2,여행·관광 활동
노후를 보내고 싶은 방법,3,학습·자기 개발 활동
노후를 보내고 싶은 방법,4,자원봉사 활동
노후를 보내고 싶은 방법,5,종교 활동
노후를 보내고 싶은 방법,6,소득 창출 활동
노후를 보내고 싶은 방법,7,기타(   )
생활비 마련 방법,1,본인과 배우자 부담
생활비 마련 방법,2,자녀 또는 친척 지원
생활비 마련 방법,3,정부 및 사회단체 지원(정부 보조 등)
생활비 마련 방법,4,기타(    )
생활비 마련방법(본인 및 배우자 부담),1,근로소득 및 사업소득
생활비 마련방법(본인 및 배우자 부담),2,"재산소득(이자, 임대소득, 배당소득 등)"
생활비 마련방법(본인 및 배우자 부담),3,"연금(개인연금 포함), 퇴직급여"
생활비 마련방법(본인 및 배우자 부담),4,예금(적금)
생활비 마련방법(본인 및 배우자 부담),5,기타(    )
자녀 유무,1,있다
자녀 유무,2,없다
현재 자녀와 동거 여부,1,같이 살고 있다
현재 자녀와 동거 여부,2,같이 살고 있지 않다
현재 자녀와 동거 이유[1순위],1,"경제, 건강 등의 이유로 본인이 독립 생활을 할 수 없으므로"
현재 자녀와 동거 이유[1순위],2,"경제, 건강 등의 이유로 자녀가 독립 생활을 할 수 없으므로"
현재 자녀와 동거 이유[1순위],3,본인이 손주의 양육 또는 자녀의 가사를 도와야 하므로
현재 자녀와 동거 이유[1순위],4,자녀가 학생 또는 미성년자이므로
현재 자녀와 동거 이유[1순위],5,모두 독립생활이 가능하지만 같이 사는 것이 좋으므로
현재 자녀와 동거 이유[1순위],6,기타(    )
현재 자녀와 동거 이유[2순위],1,"경제, 건강 등의 이유로 본인이 독립 생활을 할 수 없으므로"
현재 자녀와 동거 이유[2순위],2,"경제, 건강 등의 이유로 자녀가 독립 생활을 할 수 없으므로"
현재 자녀와 동거 이유[2순위],3,본인이 손주의 양육 또는 자녀의 가사를 도와야 하므로
현재 자녀와 동거 이유[2순위],4,자녀가 학생 또는 미성년자이므로
현재 자녀와 동거 이유[2순위],5,모두 독립생활이 가능하지만 같이 사는 것이 좋으므로
현재 자녀와 동거 이유[2순위],6,기타(    )
현재 자녀와 동거 이유[3순위],1,"경제, 건강 등의 이유로 본인이 독립 생활을 할 수 없으므로"
현재 자녀와 동거 이유[3순위],2,"경제, 건강 등의 이유로 자녀가 독립 생활을 할 수 없으므로"
현재 자녀와 동거 이유[3순위],3,본인이 손주의 양육 또는 자녀의 가사를 도와야 하므로
현재 자녀와 동거 이유[3순위],4,자녀가 학생 또는 미성년자이므로
현재 자녀와 동거 이유[3순위],5,모두 독립생활이 가능하지만 같이 사는 것이 좋으므로
현재 자녀와 동거 이유[3순위],6,기타(    )
현재 자녀와 동거하지 않는 이유[1순위],1,본인이 독립생활을 할 수 있으므로
현재 자녀와 동거하지 않는 이유[1순위],2,자녀에게 부담이 될 수 있으므로
현재 자녀와 동거하지 않는 이유[1순위],3,따로 사는 것이 편하므로
현재 자녀와 동거하지 않는 이유[1순위],4,"본인 또는 자녀의 직장, 학업 문제로"
현재 자녀와 동거하지 않는 이유[1순위],5,기타(    )
현재 자녀와 동거하지 않는 이유[2순위],1,본인이 독립생활을 할 수 있으므로
현재 자녀와 동거하지 않는 이유[2순위],2,자녀에게 부담이 될 수 있으므로
현재 자녀와 동거하지 않는 이유[2순위],3,따로 사는 것이 편하므로
현재 자녀와 동거하지 않는 이유[2순위],4,"본인 또는 자녀의 직장, 학업 문제로"
현재 자녀와 동거하지 않는 이유[2순위],5,기타(    )
현재 자녀와 동거하지 않는 이유[3순위],1,본인이 독립생활을 할 수 있으므로
현재 자녀와 동거하지 않는 이유[3순위],2,자녀에게 부담이 될 수 있으므로
현재 자녀와 동거하지 않는 이유[3순위],3,따로 사는 것이 편하므로
현재 자녀와 동거하지 않는 이유[3순위],4,"본인 또는 자녀의 직장, 학업 문제로"
현재 자녀와 동거하지 않는 이유[3순위],5,기타(    )
향후 자녀와 동거 의향,1,같이 살고 싶다
향후 자녀와 동거 의향,2,같이 살고 싶지 않다
향후 살고 싶은 곳,1,자기집
향후 살고 싶은 곳,2,양로·요양 시설
향후 살고 싶은 곳,3,기타(    )
개인적 인간관계 만족도,1,매우 만족한다
개인적 인간관계 만족도,2,약간 만족한다
개인적 인간관계 만족도,3,보통이다
개인적 인간관계 만족도,4,약간 불만족한다
개인적 인간관계 만족도,5,매우 불만족한다
신뢰,1,매우 믿을 수 있다
신뢰,2,약간 믿을 수 있다
신뢰,3,별로 믿을 수 없다
신뢰,4,전혀 믿을 수 없다
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우],1,있다
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우],2,없다
사회적 관계망[갑자기 큰 돈을 빌려야 할 경우],1,있다
사회적 관계망[갑자기 큰 돈을 빌려야 할 경우],2,없다
사회적 관계망[낙심하거나 우울해서 이야기 상대가 필요한 경우],1,있다
사회적 관계망[낙심하거나 우울해서 이야기 상대가 필요한 경우],2,없다
사회적 관계망-교류[가족 또는 친척],1,있다
사회적 관계망-교류[가족 또는 친척],2,없다
사회적 관계망-교류[가족 또는 친척 외],1,있다
사회적 관계망-교류[가족 또는 친척 외],2,없다
단체참여[친목 및 사교단체],1,있다
단체참여[친목 및 사교단체],2,없다
단체참여[친목 및 사교단체]_코로나,1,예
단체참여[친목 및 사교단체]_코로나,2,아니오
단체참여[종교 단체],1,있다
단체참여[종교 단체],2,없다
단체참여[종교 단체]_코로나,1,예
단체참여[종교 단체]_코로나,2,아니오
"단체참여[취미, 스포츠 및 여가 활동 단체]",1,있다
"단체참여[취미, 스포츠 및 여가 활동 단체]",2,없다
"단체참여[취미, 스포츠 및 여가 활동 단체]_코로나",1,예
"단체참여[취미, 스포츠 및 여가 활동 단체]_코로나",2,아니오
단체참여[시민 사회단체],1,있다
단체참여[시민 사회단체],2,없다
단체참여[시민 사회단체]_코로나,1,예
단체참여[시민 사회단체]_코로나,2,아니오
단체참여[학술 단체],1,있다
단체참여[학술 단체],2,없다
단체참여[학술 단체]_코로나,1,예
단체참여[학술 단체]_코로나,2,아니오
단체참여[이익 단체],1,있다
단체참여[이익 단체],2,없다
단체참여[이익 단체]_코로나,1,예
단체참여[이익 단체]_코로나,2,아니오
단체참여[정치 단체],1,있다
단체참여[정치 단체],2,없다
단체참여[정치 단체]_코로나,1,예
단체참여[정치 단체]_코로나,2,아니오
단체참여[지역 사회 모임],1,있다
단체참여[지역 사회 모임],2,없다
단체참여[지역 사회 모임]_코로나,1,예
단체참여[지역 사회 모임]_코로나,2,아니오
단체참여[기타],1,있다
단체참여[기타],2,없다
단체참여[기타]_코로나,1,예
단체참여[기타]_코로나,2,아니오
기부 여부,1,있다
기부 여부,2,없다
기부한 이유,1,남을 돕는 것이 행복하므로
기부한 이유,2,어려운 사람을 돕거나 사회문제를 해결하려고
기부한 이유,3,시민의 책임이므로
기부한 이유,4,남의 도움을 받은 적이 있고 이를 갚고 싶으므로
기부한 이유,5,종교적 신념을 실천하려고
