원본컬럼(df1),매칭컬럼(df2),유사도
문화예술스포츠관람_미술관횟수,문화예술스포츠관람_미술관횟수,100.0000
문화예술스포츠관람_박물관_온라인횟수,문화예술스포츠관람_박물관_온라인횟수,100.0000
문화예술스포츠관람_박물관횟수,문화예술스포츠관람_박물관횟수,100.0000
문화예술스포츠관람_스포츠횟수,문화예술스포츠관람_스포츠횟수,100.0000
문화예술스포츠관람_연극마당극뮤지컬_온라인횟수,문화예술스포츠관람_연극마당극뮤지컬_온라인횟수,100.0000
문화예술스포츠관람_연극마당극뮤지컬횟수,문화예술스포츠관람_연극마당극뮤지컬횟수,100.0000
문화예술스포츠관람_영화횟수,문화예술스포츠관람_영화횟수,100.0000
문화예술스포츠관람_음악연주회콘서트_온라인횟수,문화예술스포츠관람_음악연주회콘서트_온라인횟수,100.0000
문화예술스포츠관람_음악연주회콘서트횟수,문화예술스포츠관람_음악연주회콘서트횟수,100.0000
문화예술스포츠관람_음악연주회횟수,문화예술스포츠관람_음악연주회횟수,100.0000
문화예술스포츠관람여부,문화예술스포츠관람여부,100.0000
미기부사유코드,미기부사유,83.3333
배우자지난1주간경제활동여부,배우자지난1주간경제활동여부,100.0000
본인방역수칙준수코드,본인방역수칙준수,88.8889
본인세대_계층이동코드,본인세대_계층이동,90.0000
부채변화_증가사유_코로나관련여부,부채변화_증가사유_코로나관련여부,100.0000
부채변화코드,부채변화,80.0000
분류코드_가구소득1코드,분류코드_가구소득1,90.9091
분류코드_가구소득2코드,분류코드_가구소득2,90.9091
분류코드_가구소득3코드,분류코드_가구소득3,90.9091
분류코드_가구원수,분류코드_가구원수,100.0000
분류코드_가구원수2코드,분류코드_가구원수2,90.9091
분류코드_경제활동2여부,분류코드_경제활동2여부,100.0000
분류코드_경제활동여부,분류코드_경제활동여부,100.0000
분류코드_계층의식코드,분류코드_계층의식,90.0000
분류코드_고용안전성코드,분류코드_고용안전성,90.9091
분류코드_고용안정성여부,분류코드_고용안정성여부,100.0000
분류코드_교육정도코드,분류코드_교육정도,90.0000
분류코드_기부여부,분류코드_기부여부,100.0000
분류코드_다문화가족여부,분류코드_다문화가족여부,100.0000
분류코드_동부읍면부구분코드,분류코드_동부읍면부구분,92.3077
분류코드_만13세이상여부,분류코드_만13세이상여부,100.0000
분류코드_만15세이상여부,분류코드_만15세이상여부,100.0000
분류코드_맞벌이1여부,분류코드_맞벌이1여부,100.0000
분류코드_맞벌이2여부,분류코드_맞벌이2여부,100.0000
분류코드_물품기부여부,분류코드_물품기부여부,100.0000
분류코드_물품기부정기성여부,분류코드_물품기부정기성여부,100.0000
분류코드_산업별코드,분류코드_산업별,88.8889
분류코드_성별코드,분류코드_성별,87.5000
분류코드_세대구분코드,분류코드_세대구분,90.0000
분류코드_소득만족도코드,분류코드_소득만족도,90.9091
분류코드_연령10코드,분류코드_연령10,90.0000
분류코드_연령11코드,분류코드_연령11,90.0000
분류코드_연령12코드,분류코드_연령12,90.0000
분류코드_연령13코드,분류코드_연령13,90.0000
분류코드_연령14코드,분류코드_연령14,90.0000
분류코드_연령15코드,분류코드_연령15,90.0000
분류코드_연령16코드,분류코드_연령16,90.0000
분류코드_연령1코드,분류코드_연령1,88.8889
분류코드_연령2코드,분류코드_연령2,88.8889
분류코드_연령3코드,분류코드_연령3,88.8889
분류코드_연령4코드,분류코드_연령4,88.8889
분류코드_연령5코드,분류코드_연령5,88.8889
분류코드_연령6코드,분류코드_연령6,88.8889
분류코드_연령7코드,분류코드_연령7,88.8889
분류코드_연령8코드,분류코드_연령8,88.8889
분류코드_연령9코드,분류코드_연령9,88.8889
분류코드_연령교육정도별1코드,분류코드_연령교육정도별1,92.8571
분류코드_연령교육정도별2코드,분류코드_연령교육정도별2,92.8571
분류코드_연령교육정도별3코드,분류코드_연령교육정도별3,92.8571
분류코드_연령교육정도별4코드,분류코드_연령교육정도별4,92.8571
분류코드_연령교육정도별5코드,분류코드_연령교육정도별5,92.8571
분류코드_연령교육정도별6코드,분류코드_연령교육정도별6,92.8571
분류코드_연령교육정도별7코드,분류코드_연령교육정도별7,92.8571
분류코드_연령성별10코드,분류코드_연령성별10,91.6667
분류코드_연령성별11코드,분류코드_연령성별11,91.6667
분류코드_연령성별1코드,분류코드_연령성별1,90.9091
분류코드_연령성별2코드,분류코드_연령성별2,90.9091
분류코드_연령성별3코드,분류코드_연령성별3,90.9091
분류코드_연령성별4코드,분류코드_연령성별4,90.9091
분류코드_연령성별5코드,분류코드_연령성별5,90.9091
분류코드_연령성별6코드,분류코드_연령성별6,90.9091
분류코드_연령성별7코드,분류코드_연령성별7,90.9091
분류코드_연령성별8코드,분류코드_연령성별8,90.9091
분류코드_연령성별9코드,분류코드_연령성별9,90.9091
분류코드_임금근로자구분코드,분류코드_임금근로자구분,92.3077
분류코드_자원봉사여부,분류코드_자원봉사여부,100.0000
분류코드_자원봉사정기성여부,분류코드_자원봉사정기성여부,100.0000
분류코드_장애인복지카드_소유여부,분류코드_장애인복지카드_소유여부,100.0000
